n,mae,rmse,calibration_in_the_large,calibration_slope,residual_age_slope,residual_age_correlation,latent_mae,latent_rmse,outcome_beta_unadjusted,outcome_p_unadjusted,outcome_beta_age_adjusted,outcome_se_age_adjusted,outcome_p_age_adjusted,outcome_ci_low_age_adjusted,outcome_ci_high_age_adjusted,scenario,method,replication,seed,association_target,association_error_age_adjusted,association_detected_age_adjusted,latent_target_in_ci
500.0,0.02184856176799123,0.02681615931630883,0.0041695113214770315,0.9988590654679774,-0.001140934532022575,-0.7487949669373886,0.02184856176799123,0.02681615931630883,-0.0010105971870937697,0.4571208322675099,3.275542698001937e-05,0.0009024478007752877,0.9710607523236336,-0.001740327638474676,0.001805838492434715,unbiased_predictions,raw_lasso,0,3244640537,0.0,3.275542698001937e-05,False,True
500.0,0.013892313923303803,0.017704375230868968,0.002177470856596031,1.0000378475061609,3.7847506160870736e-05,0.037449936201223936,0.013892313923303803,0.017704375230868968,6.729445669364469e-05,0.9405067721689,3.275542697996625e-05,0.000902447800775289,0.9710607523236806,-0.0017403276384747317,0.0018058384924346644,unbiased_predictions,residual_correction,0,3244640537,0.0,3.275542697996625e-05,False,True
500.0,0.013907739600706072,0.017724762171263286,0.00218195926666116,1.0000367553290392,3.6755329039239726e-05,0.036327907422849956,0.013907739600706072,0.017724762171263286,6.633429582316236e-05,0.9414206046747584,3.279404677704785e-05,0.0009035118183748273,0.9710607523235285,-0.0017423795457812306,0.0018079676393353262,unbiased_predictions,linear_recalibration,0,3244640537,0.0,3.279404677704785e-05,False,True
500.0,0.014012944069973436,0.01781442476086522,0.0020486617169033607,1.000116190676863,0.00011619067686297058,0.11414976565466978,0.014012944069973436,0.01781442476086522,0.00013974533223494554,0.8777042925403931,3.357014025629307e-05,0.0009036262445220629,0.970379946905243,-0.0017418282709161304,0.0018089685514287165,unbiased_predictions,umlr_oracle,0,3244640537,0.0,3.357014025629307e-05,False,True
500.0,0.020600044240880074,0.025750216330475275,0.00033217820766521557,0.9989354057134577,-0.0010645942865422642,-0.6885136963305218,0.020600044240880074,0.025750216330475275,-0.0014414854976380039,0.24056746817507194,-0.0015167796020348159,0.0008892589648388996,0.08869491336433036,-0.0032639499203679827,0.00023039071629835073,unbiased_predictions,raw_lasso,1,580181347,0.0,-0.0015167796020348159,False,True
500.0,0.01518561131907598,0.01877853097855877,-0.0002869627807744948,1.000118075962319,0.00011807596231894202,0.10471859089162053,0.01518561131907598,0.01877853097855877,-0.0015251038060489577,0.08838465141801219,-0.001516779602034884,0.0008892589648388858,0.08869491336431119,-0.0032639499203680235,0.00023039071629825554,unbiased_predictions,residual_correction,1,580181347,0.0,-0.001516779602034884,False,True
500.0,0.015202434941533042,0.01879864021951268,-0.00028667045043029304,1.00011700884013,0.00011700884013010615,0.10366112970682372,0.015202434941533042,0.01879864021951268,-0.0015268224703574652,0.08836693079991817,-0.001518573743588326,0.0008903108358280266,0.08869491336424352,-0.003267810723989107,0.00023066323681245494,unbiased_predictions,linear_recalibration,1,580181347,0.0,-0.001518573743588326,False,True
500.0,0.015189517641240527,0.01877612147189658,-0.00028046328855872103,1.000105087319361,0.00010508731936109683,0.09321076650875496,0.015189517641240527,0.01877612147189658,-0.0015282670270651802,0.08768526886861318,-0.001520861223687879,0.0008901640843256312,0.08816466041809466,-0.003269809874277779,0.00022808742690202076,unbiased_predictions,umlr_oracle,1,580181347,0.0,-0.001520861223687879,False,True
500.0,0.02326174703082882,0.02842306814605697,0.0029766331524056326,0.9987394573352818,-0.0012605426647182005,-0.7605171020526683,0.02326174703082882,0.02842306814605697,-0.0013450919537435462,0.3181582292223313,-0.0001456485672124995,0.0008769858396229846,0.8681626456038842,-0.0018687052797926808,0.0015774081453676816,unbiased_predictions,raw_lasso,2,1959552130,0.0,-0.0001456485672124995,False,True
500.0,0.014876015693281815,0.018427214133827145,0.001164788618381209,0.9999323331464374,-6.766685356263125e-05,-0.06274994135428259,0.014876015693281815,0.018427214133827145,-0.0002096561451928709,0.8110723511468934,-0.0001456485672125265,0.0008769858396229768,0.8681626456038588,-0.0018687052797926923,0.0015774081453676393,unbiased_predictions,residual_correction,2,1959552130,0.0,-0.0001456485672125265,False,True
500.0,0.014895267057366055,0.018450599223653857,0.0011679897826094674,0.999931059798289,-6.894020171099857e-05,-0.06385011360041022,0.014895267057366055,0.018450599223653857,-0.00021104147426266405,0.8100830551098869,-0.00014582234145386381,0.0008780321770624887,0.8681626456037993,-0.0018709348440677093,0.0015792901611599817,unbiased_predictions,linear_recalibration,2,1959552130,0.0,-0.00014582234145386381,False,True
500.0,0.014856931875202506,0.018420874624161428,0.0011138674159803087,0.9999647387801994,-3.526121980057528e-05,-0.03270470011426671,0.014856931875202506,0.018420874624161428,-0.00017947068218275428,0.8378374482664604,-0.00014631014553105409,0.0008780946614897502,0.8677350176481206,-0.0018715454143367356,0.0015789251232746272,unbiased_predictions,umlr_oracle,2,1959552130,0.0,-0.00014631014553105409,False,True
500.0,0.02370797539253861,0.029298439531661356,-0.0033169645066619393,0.9987053788283714,-0.001294621171628596,-0.7741756266871589,0.02370797539253861,0.029298439531661356,-0.0004993874901171486,0.7376485399743324,-0.0005974970348468373,0.0009438173160560842,0.5269828410978167,-0.00245186079809639,0.0012568667284027155,unbiased_predictions,raw_lasso,3,1042716632,0.0,-0.0005974970348468373,False,True
